Transaction Date,Post Date,Description,Category,Type, Amount ,Memo
8/23/2024,8/25/2024,BILLA DANKT 0000939,Groceries,Sale, $(5.48),
8/23/2024,8/25/2024,Mol*WeWash GmbH,Travel,Sale, $(4.47),
8/23/2024,8/25/2024,LE CROBAG,Groceries,Sale, $(9.72),
8/23/2024,8/25/2024,UBR* PENDING.UBER.COM,Transportation,Sale, $(12.24),
8/23/2024,8/25/2024,Tesla Tapas,Food & Drink,Sale, $(20.99),
8/23/2024,8/25/2024,Meininger Wien GmbH,Travel,Sale, $(9.38),
8/23/2024,8/23/2024,Eurail,Transportation,Sale, $(365.00),
8/24/2024,8/26/2024,UBR* PENDING.UBER.COM,Transportation,Sale, $(20.29),
8/24/2024,8/25/2024,SOUVENIR &amp; GIFT SHOP,Shopping,Sale, $(13.44),
8/24/2024,8/25/2024,PAPAS SPEZIALITAETEN,Food & Drink,Sale, $(13.44),
8/24/2024,8/25/2024,SteinmetzGastoGmbH,Food & Drink,Sale, $(6.61),
8/24/2024,8/25/2024,Prater Dome,Food & Drink,Sale, $(28.90),
8/24/2024,8/25/2024,Irish Pub O Hara,Food & Drink,Sale, $(14.45),
8/25/2024,8/26/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(10.99),
8/25/2024,8/26/2024,UBR* PENDING.UBER.COM,Transportation,Sale, $(8.77),
8/25/2024,8/26/2024,McDonalds 33,Food & Drink,Sale, $(8.85),
8/25/2024,8/26/2024,Sisi Museum,Entertainment,Sale, $(65.53),-$21.84
8/25/2024,8/26/2024,Nationalbibliothek,Entertainment,Sale, $(11.20),Vienna Library 
8/25/2024,8/26/2024,BOUNCE - USEBOUNCE.COM,Travel,Sale, $(7.45),
8/26/2024,8/29/2024,Sir Toby?s Midtown,Accomodation,Sale, $(58.71),
8/26/2024,8/27/2024,Hofer Dankt,Groceries,Sale, $(10.81),
8/27/2024,8/30/2024,Potraviny Strahov,Groceries,Sale, $(3.13),
8/27/2024,8/29/2024,Prague City Tourism A.S,Entertainment,Sale, $(9.86),Clock Tower
8/27/2024,8/29/2024,Prague City Tourism A.S,Entertainment,Sale, $(13.44),Prague Tower
8/27/2024,8/28/2024,PRAG ART COLLECTION,Entertainment,Sale, $(12.23),Dancing House
8/27/2024,8/28/2024,Bill in Restaurace Hybern,Food & Drink,Sale, $(29.53),
8/27/2024,8/28/2024,Lidl dekuje za nakup,Groceries,Sale, $(1.98),
8/27/2024,8/28/2024,STUBHUB INC,Entertainment,Sale, $(46.46),Soccer Game
8/27/2024,8/28/2024,UBER *LIME HELP.UBER.COM,Transportation,Sale, $(2.93),
8/27/2024,8/28/2024,Dutch Pub,Food & Drink,Sale, $(7.80),
8/28/2024,8/29/2024,UBER *LIME HELP.UBER.COM,Transportation,Sale, $(4.54),
8/28/2024,8/29/2024,Glass Bar,Food & Drink,Sale, $(4.25),
8/28/2024,8/29/2024,UBER *LIME HELP.UBER.COM,Transportation,Sale, $(4.14),
8/28/2024,8/29/2024,La Casa Trattoria Zizk,Food & Drink,Sale, $(20.50),
8/28/2024,8/29/2024,Slavia Praha,Food & Drink,Sale, $(5.82),
8/28/2024,8/29/2024,Slavia Praha,Food & Drink,Sale, $(4.92),
8/28/2024,8/29/2024,Slavia Praha,Food & Drink,Sale, $(5.82),
8/28/2024,8/29/2024,Glass Bar,Food & Drink,Sale, $(10.96),
8/28/2024,8/29/2024,TRDLO KARLOVA,Food & Drink,Sale, $(6.94),
8/28/2024,8/29/2024,MUSEUM KOMUNISMU,Entertainment,Sale, $(17.01),
8/28/2024,8/29/2024,CG *Detektorykovu.cz,Shopping,Sale, $(6.71),
8/28/2024,8/29/2024,Lidl dekuje za nakup,Groceries,Sale, $(2.09),
8/29/2024,8/30/2024,SAFESTAY BRUSSELS,Accomodation,Sale, $(58.76),
8/29/2024,8/30/2024,BADEN BADEN  S.R.O. - O,Food & Drink,Sale, $(5.02),
8/29/2024,8/30/2024,Eurail,Transportation,Sale, $(31.61),
8/29/2024,8/30/2024,AMIN BISTRO,Food & Drink,Sale, $(6.67),
8/29/2024,8/30/2024,Eurail,Transportation,Sale, $(6.54),
8/29/2024,8/30/2024,Lidl dekuje za nakup,Groceries,Sale, $(6.02),
8/29/2024,8/30/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(10.02),
8/29/2024,8/30/2024,BADEN BADEN  S.R.O. - O,Food & Drink,Sale, $(2.78),
8/29/2024,8/30/2024,MUFFIN CONCEPT S.R.O.,Food & Drink,Sale, $(4.25),
8/29/2024,8/30/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(9.83),
8/30/2024,9/1/2024,UBER *LIME HELP.UBER.COM,Transportation,Sale, $(2.11),
8/30/2024,9/1/2024,PIZZA PEPPINO,Food & Drink,Sale, $(17.27),
8/30/2024,9/1/2024,HEART OF GOLD HOSTEL,Accomodation,Sale, $(71.05),
8/30/2024,9/1/2024,SPORT VOSWINKEL GMBH,Shopping,Sale, $(50.08),
8/30/2024,9/1/2024,REWE Markt GmbH-Zw,Groceries,Sale, $(11.98),
8/30/2024,9/1/2024,Souvenirshop-Fernsehturm,Shopping,Sale, $(30.64),
8/30/2024,8/30/2024,AIRALO,Travel,Sale, $(6.50),
8/31/2024,9/2/2024,Spaetkauf24 de,Shopping,Sale, $(13.32),
8/31/2024,9/1/2024,Lidl sagt Danke,Groceries,Sale, $(2.80),
8/31/2024,9/1/2024,AIRALO,Travel,Sale, $(6.50),
8/31/2024,9/1/2024,UBER *LIME HELP.UBER.COM,Transportation,Sale, $(5.00),
8/31/2024,9/1/2024,JETBLUE     2792162493260,Transportation,Sale, $(652.40),
8/31/2024,9/1/2024,PIZZA PEPPINO,Food & Drink,Sale, $(14.43),
8/31/2024,9/1/2024,BAECKER WIEDEMANN GMBH,Food & Drink,Sale, $(5.54),
8/31/2024,9/1/2024,Fahrradstation Mitte,Shopping,Sale, $(21.08),
8/31/2024,9/1/2024,ZETTLE_*CFH BERLIN HOS,Food & Drink,Sale, $(12.21),
9/1/2024,9/2/2024,dean&amp;david B Friedrichstr,Food & Drink,Sale, $(4.94),
9/1/2024,9/2/2024,Mol*WeWash GmbH,Travel,Sale, $(4.44),
9/1/2024,9/2/2024,PIZZA PEPPINO,Food & Drink,Sale, $(6.66),
9/1/2024,9/2/2024,MCDONALDS 01554,Food & Drink,Sale, $(8.30),
9/1/2024,9/1/2024,KIEZKAUF,Shopping,Sale, $(1.19),
9/2/2024,9/3/2024,MS* JOJOEPARISGENTILL,Accomodation,Sale, $(99.81),
9/2/2024,9/3/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(17.64),
9/2/2024,9/3/2024,Dean &amp; David,Food & Drink,Sale, $(9.65),
9/2/2024,9/3/2024,REWE Markt GmbH-Zw,Groceries,Sale, $(5.74),
9/2/2024,9/3/2024,Travelshop Hauptbahnhof,Shopping,Sale, $(5.55),
9/2/2024,9/3/2024,Lagardere Fil. 723,Shopping,Sale, $(3.32),
9/2/2024,9/3/2024,LE PRE SALE,Food & Drink,Sale, $(36.62),
9/2/2024,9/3/2024,MCDONALD S DEUTSCHLAND,Food & Drink,Sale, $(3.98),
9/3/2024,9/4/2024,Dott bike ride,Transportation,Sale, $(4.79),
9/3/2024,9/4/2024,Dott bike ride,Transportation,Sale, $(7.58),
9/3/2024,9/4/2024,La Croix De L'Aigle Sa,Entertainment,Sale, $(7.76),Herge Musee
9/3/2024,9/4/2024,Dott scooter ride,Transportation,Sale, $(2.65),
9/3/2024,9/4/2024,CARREFOUR ARTS L,Groceries,Sale, $(10.08),
9/3/2024,9/4/2024,INES SRL,Food & Drink,Sale, $(16.62),
9/3/2024,9/4/2024,Sncb Nmbs Bru Schu Tvm,Transportation,Sale, $(14.40),
9/4/2024,9/6/2024,JO&amp;JOE GENTILLY,Accomodation,Sale, $(93.95),
9/4/2024,9/5/2024,Paul 502,Food & Drink,Sale, $(8.97),
9/4/2024,9/5/2024,DUHESME DR,Food & Drink,Sale, $(23.26),
9/4/2024,9/5/2024,Pharmacie Des Fripiers,Health & Wellness,Sale, $(8.85),
9/4/2024,9/5/2024,RATP,Transportation,Sale, $(66.45),
9/4/2024,9/5/2024,DOSTEE,Shopping,Sale, $(3.31),
9/4/2024,9/5/2024,CARREFOUR BRUXEL,Groceries,Sale, $(10.89),
9/4/2024,9/5/2024,LES INNOCENTS,Food & Drink,Sale, $(15.51),
9/4/2024,9/5/2024,Dott bike ride,Transportation,Sale, $(2.87),
9/4/2024,9/5/2024,LES INNOCENTS,Food & Drink,Sale, $(15.51),
9/5/2024,9/8/2024,YAZZITT         2155287,Food & Drink,Sale, $(7.21),
9/5/2024,9/6/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(19.55),
9/5/2024,9/6/2024,Dott bike ride,Transportation,Sale, $(1.94),
9/5/2024,9/6/2024,TOASTY,Food & Drink,Sale, $(9.99),
9/5/2024,9/6/2024,TICKET LOUVRE   2333280,Entertainment,Sale, $(48.82),Meg covered Olympic tickets
9/5/2024,9/6/2024,STAN COM        4122337,Food & Drink,Sale, $(15.53),
9/5/2024,9/6/2024,gotogate1021003273,Transportation,Sale, $(279.47),
9/6/2024,9/9/2024,TOASTY,Food & Drink,Sale, $(10.01),
9/6/2024,9/8/2024,ONE EAT         4119415,Food & Drink,Sale, $(9.45),
9/6/2024,9/8/2024,MONOPRIX        4702687,Groceries,Sale, $(4.17),
9/6/2024,9/8/2024,Dott bike ride,Transportation,Sale, $(2.11),
9/6/2024,9/8/2024,PAO QUENTE      2049599,Food & Drink,Sale, $(4.45),
9/6/2024,9/6/2024,SAFESTAY LISBON,Accomodation,Sale, $(133.25),
9/7/2024,9/8/2024,CHEZ ELLIE      2152173,Food & Drink,Sale, $(17.69),
9/7/2024,9/8/2024,ONE EAT         4119415,Food & Drink,Sale, $(9.48),
9/8/2024,9/10/2024,O BLED          4121555,Food & Drink,Sale, $(10.60),
9/8/2024,9/10/2024,JO&amp;JOE GENTILLY,Accomodation,Sale, $(42.35),
9/8/2024,9/9/2024,ONE EAT         4119415,Food & Drink,Sale, $(9.48),
9/8/2024,9/9/2024,PLAYER ONE,Food & Drink,Sale, $(17.85),
9/9/2024,9/13/2024,LA CREME DES CREPES,Food & Drink,Sale, $(5.58),
9/9/2024,9/11/2024,JO&amp;JOE GENTILLY,Travel,Sale, $(8.92),
9/9/2024,9/10/2024,Paris Forum des Halles,Shopping,Sale, $(156.18),
9/9/2024,9/10/2024,RATP,Transportation,Sale, $(2.40),
9/9/2024,9/10/2024,CARREFOUR EXPRES2512097,Groceries,Sale, $(4.43),
9/9/2024,9/10/2024,PAO QUENTE      2049599,Food & Drink,Sale, $(11.16),
9/9/2024,9/10/2024,Dott bike ride,Transportation,Sale, $(1.95),
9/10/2024,9/11/2024,UBR* PENDING.UBER.COM,Transportation,Sale, $(20.27),
9/10/2024,9/11/2024,REST CARTAXINHO,Food & Drink,Sale, $(22.96),
9/10/2024,9/11/2024,CASA PORTUGUESA DO,Food & Drink,Sale, $(8.43),
9/10/2024,9/11/2024,AEROPORTO,Food & Drink,Sale, $(11.65),
9/10/2024,9/11/2024,PAO QUENTE      2049599,Food & Drink,Sale, $(12.20),
9/11/2024,9/13/2024,BEER EXPERIENCE,Food & Drink,Sale, $(5.80),
9/11/2024,9/12/2024,LIDL AGRADECE,Groceries,Sale, $(3.28),
9/11/2024,9/12/2024,LIDL AGRADECE,Groceries,Sale, $(2.73),
9/11/2024,9/12/2024,MANTEIGARIA SILVA,Food & Drink,Sale, $(3.32),
9/12/2024,9/15/2024,BEER EXPERIENCE,Food & Drink,Sale, $(5.80),
9/12/2024,9/15/2024,PEAKY BLINDERS,Food & Drink,Sale, $(18.79),
9/12/2024,9/15/2024,VINCENT FARGES,Food & Drink,Sale, $(18.79),
9/12/2024,9/15/2024,TIME OUT MERC RIBEIR,Food & Drink,Sale, $(5.81),
9/12/2024,9/15/2024,BEER EXPERIENCE,Food & Drink,Sale, $(4.64),
9/12/2024,9/13/2024,EMMA BAR,Food & Drink,Sale, $(4.42),
9/12/2024,9/13/2024,A Padaria - Sintra,Food & Drink,Sale, $(14.37),
9/12/2024,9/13/2024,PADARIA DO BAIRRO,Food & Drink,Sale, $(6.02),
9/12/2024,9/13/2024,EMMA BAR,Food & Drink,Sale, $(4.63),
9/12/2024,9/13/2024,PFCB LARGO ESTACAO,Food & Drink,Sale, $(6.52),
9/13/2024,9/15/2024,PENSAO AMOR,Food & Drink,Sale, $(13.32),
9/13/2024,9/15/2024,MENINA E MOCA,Food & Drink,Sale, $(16.61),
9/13/2024,9/15/2024,PENSAO AMOR,Food & Drink,Sale, $(6.66),
9/13/2024,9/15/2024,MIX PIZZA &amp; KEBAB,Food & Drink,Sale, $(6.84),
9/13/2024,9/15/2024,STCHRIS &amp; FPIG HOSTELS,Accomodation,Sale, $(20.60),
9/13/2024,9/15/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(3.63),
9/14/2024,9/16/2024,KUMAR KEBAB PIZZARIA,Food & Drink,Sale, $(18.82),
9/14/2024,9/15/2024,MARINHA-COM.CULT.,Entertainment,Sale, $(8.88),
9/14/2024,9/15/2024,RESTAURADORES,Food & Drink,Sale, $(5.55),
9/14/2024,9/15/2024,CAFE MAPA IDEIAS,Groceries,Sale, $(5.22),
9/14/2024,9/15/2024,MF SARDINHA ROSSIO,Groceries,Sale, $(13.32),
9/15/2024,9/17/2024,SC-FASHION MELA,Shopping,Sale, $(3.33),
9/15/2024,9/16/2024,ST CHRISTOPHER  4343833,Food & Drink,Sale, $(7.77),
9/15/2024,9/16/2024,SNC ARIEL,Food & Drink,Sale, $(15.54),
9/15/2024,9/16/2024,AREAS PORTUGAL SA,Food & Drink,Sale, $(4.07),
9/15/2024,9/16/2024,NESPRESSO,Food & Drink,Sale, $(8.11),
9/15/2024,9/16/2024,ST CHRISTOPHER  4343833,Accomodation,Sale, $(5.11),
9/15/2024,9/16/2024,SNCF VOYAGEURS,Transportation,Sale, $(2.39),
9/16/2024,9/18/2024,Office de Tourisme de Lil,Entertainment,Sale, $(52.60),City Pass
9/16/2024,9/17/2024,CALM APT HOTEL,Accomodation,Sale, $(37.24),
9/16/2024,9/17/2024,Pokawa Lille Grd Place,Food & Drink,Sale, $(18.43),
9/16/2024,9/17/2024,PARISIEN,Food & Drink,Sale, $(2.78),
9/16/2024,9/17/2024,Eurail,Transportation,Sale, $(13.44),
9/16/2024,9/16/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(104.90),
9/17/2024,9/18/2024,RESTO FMG14,Food & Drink,Sale, $(21.05),
9/17/2024,9/18/2024,INTER LOCAY 2   9503173,Groceries,Sale, $(3.23),
9/17/2024,9/18/2024,Eurail,Transportation,Sale, $(13.44),
9/17/2024,9/18/2024,WWW.HOSTELWORLD.COM,Accomodation,Sale, $(15.14),
9/17/2024,9/18/2024,STCHRIS &amp; FPIG HOSTELS,Accomodation,Sale, $(85.80),
9/17/2024,9/18/2024,AERONEF,Entertainment,Sale, $(10.02),Concert Tic
9/18/2024,9/19/2024,BERLINER DAS ORI,Food & Drink,Sale, $(14.44),
9/18/2024,9/19/2024,DERNIER BAR,Food & Drink,Sale, $(8.36),
9/18/2024,9/19/2024,MAXIME LILLE,Food & Drink,Sale, $(8.92),
9/19/2024,9/20/2024,CCG17813PAUL2   4063834,Food & Drink,Sale, $(6.83),
9/19/2024,9/20/2024,Smile&amp;P*EMAY,Food & Drink,Sale, $(9.96),
9/19/2024,9/20/2024,PROGETTO NAPOLETANO,Food & Drink,Sale, $(17.34),
9/20/2024,9/23/2024,AERONEF,Food & Drink,Sale, $(8.39),
9/20/2024,9/22/2024,VANPEPERSTRAETE,Food & Drink,Sale, $(6.93),
9/20/2024,9/22/2024,LAVANOR,Travel,Sale, $(6.15),
9/20/2024,9/22/2024,BELLINI,Food & Drink,Sale, $(7.83),
9/20/2024,9/22/2024,LAVANOR,Travel,Sale, $(1.34),
9/20/2024,9/22/2024,LAVANOR,Travel,Sale, $(1.34),
9/20/2024,9/22/2024,LAVANOR,Travel,Sale, $(1.12),
9/20/2024,9/22/2024,LAERONEF LILLE,Entertainment,Sale, $(8.94),Concert Tic
9/20/2024,9/22/2024,MONOPRIX        4655094,Groceries,Sale, $(3.91),
9/21/2024,9/23/2024,RATP,Transportation,Sale, $(19.40),
9/21/2024,9/23/2024,PAN YUAN        2055694,Food & Drink,Sale, $(17.74),
9/21/2024,9/22/2024,IVS France      4319555,Groceries,Sale, $(2.46),
9/21/2024,9/22/2024,ST CHRISTOPHER  4343833,Accomodation,Sale, $(10.96),
9/21/2024,9/22/2024,NETFLIX.COM,Entertainment,Sale, $(15.09),
9/22/2024,9/23/2024,ST CHRISTOPHER  4343833,Food & Drink,Sale, $(8.95),
9/22/2024,9/23/2024,ST CHRISTOPHER  4343833,Food & Drink,Sale, $(8.95),
9/22/2024,9/23/2024,MTS,Groceries,Sale, $(3.02),
9/22/2024,9/23/2024,ST CHRISTOPHER  4343833,Food & Drink,Sale, $(13.42),
9/23/2024,9/25/2024,PAN YUAN        2055694,Food & Drink,Sale, $(15.83),
9/23/2024,9/24/2024,BANM BOKIT,Food & Drink,Sale, $(15.66),
9/23/2024,9/24/2024,BOULANGERIE     2400986,Food & Drink,Sale, $(5.03),
9/23/2024,9/24/2024,FIRST PRESBYTERIAN CHURCH,Gifts & Donations,Sale, $(50.00),
9/24/2024,9/25/2024,MAISON BAYAT,Food & Drink,Sale, $(10.84),
9/24/2024,9/25/2024,SNCF VOYAGEURS,Transportation,Sale, $(5.59),
9/24/2024,9/25/2024,SNCF,Travel,Sale, $(67.04),Fine for Feet on Seat
9/25/2024,9/26/2024,SNC DZ TABAC,Food & Drink,Sale, $(7.83),
9/28/2024,9/29/2024,STCHRIS / FPIG HOSTELS,Accomodation,Sale, $(132.94),
9/29/2024,9/30/2024,MUSEE DU CHATEAU2348270,Entertainment,Sale, $(14.01),Dourdan for 3
9/29/2024,9/30/2024,FRANPRIX 5567,Groceries,Sale, $(6.49),
10/1/2024,10/2/2024,CARREFOUR ETAMPE,Groceries,Sale, $(21.62),
10/1/2024,10/2/2024,BAR DU COMMERCE,Food & Drink,Sale, $(7.85),
